thread_id,ai_suggested_intent,my_final_intent,intent_was_changed,ai_suggested_escalate,my_final_escalate,escalate_was_changed,time_spent_seconds
1922777,account_access,account_access,False,escalate,escalate,False,23.6
2673433,delivery_delay,delivery_delay,False,escalate,escalate,False,31.2
264393,order_product_problem,order_product_problem,False,escalate,escalate,False,18.2
1910333,account_access,account_access,False,escalate,escalate,False,32.8
2856623,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,24.4
2607489,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,21.4
2236189,product_info_question,product_info_question,False,auto_handle,auto_handle,False,23.1
900387,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,16.7
401628,account_access,account_access,False,auto_handle,auto_handle,False,29.4
393546,account_access,account_access,False,escalate,escalate,False,41.2
1457261,order_product_problem,order_product_problem,False,escalate,escalate,False,30.2
1521769,delivery_delay,delivery_delay,False,escalate,escalate,False,25.0
903630,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,16.2
1545235,delivery_delay,delivery_delay,False,escalate,escalate,False,22.6
679870,delivery_delay,delivery_delay,False,escalate,escalate,False,36.2
850064,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,20.4
2964038,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,17.8
861294,non_support,non_support,False,auto_handle,auto_handle,False,20.7
285535,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,40.0
1183975,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,18.6
1659681,account_access,account_access,False,auto_handle,auto_handle,False,22.4
493311,delivery_delay,delivery_delay,False,escalate,escalate,False,34.1
1442455,product_info_question,product_info_question,False,auto_handle,auto_handle,False,21.2
2850779,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,17.2
918010,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,23.7
583510,delivery_delay,delivery_delay,False,escalate,escalate,False,18.7
1185795,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,19.2
526099,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,16.8
158860,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,25.3
180212,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,20.8
64184,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,22.5
865989,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,21.8
2766348,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,20.3
364000,other,other,False,auto_handle,auto_handle,False,28.8
834858,delivery_delay,delivery_delay,False,escalate,escalate,False,24.0
